,Country,"Under-five mortality rate 2019,both","Under-five mortality rate 2019, male","Under-five mortality rate 2019, Female",Infant mortality rate 2019,Neonatal mortality rate 2019,"Mortality rate among children aged 5–14 years, 2019",Annual rate of reduction in under-five mortality rate	,Annual rate of reduction in stillbirth rate,Under five deaths 2019,Deaths among children aged 5–14 years 2019,Vaccine BCG,Vaccine DTP1,Vaccine DTP3,Vaccine Polio3,Vaccine MCV1,Vaccine MCV2 (F),Vaccine HepB3,Vaccine Hib3,Vaccine Rota,Vaccine PCV3,Child dependency ratio,Maternity leave benefits,Paternity leave benefits,Exclusive Breastfeeding (< 6months) %,country_code
43,Serbia,5,6,5,5,3,1,4.6,0.9,441,113,-,-,-,-,-,-,-,-,-,-,23,Yes,Yes,24,SRB
44,Bahrain,7,7,7,6,3,2,3.1,1.9,151,35,-,99,98,98,99,99,98,98,98,99,23,No,Yes,,BHR
45,Saudi Arabia,7,7,6,6,4,2,6.3,3.2,"3,964",963,95,96,95,95,96,96,95,95,96,95,34,No,Yes,,SAU
46,Bulgaria,7,7,6,6,3,2,5.0,2.2,422,121,97,94,91,91,88,84,91,91,45,85,23,Yes,Yes,,BGR
47,Antigua and Barbuda,7,7,6,6,4,2,4.5,2.5,10,2,-,98,96,95,89,78,95,99,-,-,32,No,No,,ATG
48,Qatar,7,7,6,6,3,1,3.4,0.8,172,34,98,89,82,89,90,90,82,82,83,70,16,No,No,29,QAT
49,United States,6,7,6,6,4,1,1.4,0.5,"25,352","5,705",-,97,93,92,91,95,91,90,75,82,28,No,Yes,26,USA
50,North Macedonia,6,7,6,5,4,1,5.0,5.1,137,30,-,-,-,-,-,-,-,-,-,-,24,Yes,Yes,28,MKD
51,Cook Islands,8,8,7,7,4,2,4.5,3.2,2,0,-,-,-,-,-,-,-,-,-,-,35,-,-,,COK
52,United Arab Emirates,7,8,7,6,4,2,2.1,2.8,750,178,86,90,90,80,99,92,91,90,86,84,18,No,Yes,,ARE
53,China,8,8,7,7,4,2,8.1,5.3,"132,256","32,278",99,99,99,99,99,99,99,-,-,-,25,Yes,Yes,21,CHN
54,Lebanon,7,8,7,6,4,2,5.3,2.8,839,216,-,87,71,67,74,64,71,71,-,74,37,No,No,,LBN
55,Maldives,8,8,7,7,5,2,8.6,4.5,54,13,99,99,99,99,99,96,99,99,-,-,26,No,Yes,63,MDV
56,Sri Lanka,7,8,6,6,4,2,4.4,3.0,"2,378",571,99,96,96,96,96,96,96,96,-,-,36,No,No,81,LKA
57,Romania,7,8,6,6,3,2,5.9,3.9,"1,317",343,97,95,87,87,87,75,87,87,-,85,24,Yes,Yes,16,ROU
58,Uruguay,7,8,6,6,4,2,4.6,2.3,337,77,99,98,92,91,95,91,92,92,-,94,31,Yes,Yes,58,URY
59,Chile,7,8,6,6,5,1,2.3,1.6,"1,612",353,98,98,93,93,91,83,93,93,-,89,28,Yes,Yes,,CHL
60,Malta,7,8,6,6,5,1,0.4,1.3,30,3,-,99,98,98,95,99,98,98,-,-,22,Yes,Yes,,MLT
61,Malaysia,9,9,8,7,5,3,0.9,-0.6,"4,513","1,297",99,99,98,98,95,84,99,98,-,-,34,No,No,40,MYS
62,Kuwait,8,9,7,7,5,2,2.3,1.0,448,113,-,-,-,-,-,-,-,-,-,-,28,No,No,,KWT
63,Ukraine,8,9,8,7,5,2,4.1,2.1,"3,514",823,93,93,81,84,85,82,81,85,-,-,24,Yes,No,20,UKR
64,Costa Rica,9,9,8,8,6,2,2.2,0.4,599,121,99,96,95,94,95,93,98,94,95,95,30,Yes,No,25,CRI
65,Thailand,9,10,8,8,5,4,4.7,3.2,"6,444","3,408",-,-,-,-,-,-,-,-,-,-,23,No,No,14,THA
66,Albania,10,10,9,9,8,2,5.4,2.3,327,66,-,-,-,-,-,-,-,-,-,-,25,Yes,Yes,37,ALB
67,Argentina,9,10,8,8,6,2,4.0,2.0,"6,977","1,337",75,79,74,74,77,71,74,74,72,75,38,No,Yes,32,ARG
68,Georgia,10,11,8,9,5,2,7.0,5.1,513,126,96,95,88,88,91,77,88,88,75,82,31,Yes,No,20,GEO
69,Turkey,10,11,9,9,5,2,7.1,5.3,"13,149","2,623",96,99,98,98,95,93,98,98,-,95,36,Yes,Yes,41,TUR
70,Kazakhstan,10,12,9,9,5,3,7.3,3.8,"3,976",936,93,94,88,88,93,91,88,88,-,89,46,Yes,No,38,KAZ
71,Libya,12,13,10,10,6,4,4.7,2.4,"1,448",524,74,74,73,73,73,72,73,73,73,73,41,Yes,No,,LBY
72,Belize,12,13,11,11,8,3,3.4,2.9,98,21,76,79,79,79,82,87,79,79,-,-,44,Yes,No,33,BLZ
73,Oman,11,13,10,10,5,3,1.9,1.9,"1,034",169,-,-,-,-,-,-,-,-,-,-,30,No,No,23,OMN
74,Bahamas,13,13,12,11,7,3,1.3,0.4,68,15,-,-,-,-,-,-,-,-,-,-,31,No,No, ,BHS
75,Brunei Darussalam,11,13,10,10,6,2,-0.5,0.5,73,16,99,99,99,99,99,97,99,99,-,-,31,No,No,,BRN
76,Armenia,12,13,11,11,6,2,5.0,2.5,482,79,-,-,-,-,-,-,-,-,-,-,31,Yes,No,44,ARM
77,Peru,13,14,12,10,6,3,5.6,3.5,"7,563","1,536",-,-,-,-,-,-,-,-,-,-,37,Yes,Yes,65,PER
78,Barbados,13,14,11,12,8,2,0.9,0.7,39,6,-,86,85,85,89,78,85,85,-,86,25,No,No,20,BRB
79,Iran,14,15,13,12,9,3,4.7,2.7,"21,248","4,452",98,99,99,99,99,98,99,99,-,-,36,Yes,Yes,53,IRN
80,El Salvador,13,15,12,11,7,3,4.7,3.6,"1,552",372,79,79,72,64,71,56,72,72,75,78,41,Yes,Yes,47,SLV
81,Jamaica,14,15,12,12,10,3,2.4,2.1,652,125,99,97,96,95,93,89,95,96,-,-,35,No,No,24,JAM
82,Seychelles,14,15,13,12,9,3,-0.2,-0.3,23,4,99,99,97,97,97,99,97,97,98,94,35,Yes,Yes,,SYC
83,Mexico,14,15,13,12,9,3,3.6,1.8,"31,368","5,662",28,79,74,74,89,78,79,74,71,75,39,No,Yes,27,MEX
84,Colombia,14,15,12,12,7,2,3.1,1.6,"10,091","1,907",89,92,88,88,90,88,88,88,87,89,32,Yes,Yes,37,COL
85,Tonga,17,15,18,14,7,2,0.4,0.5,42,6,99,99,99,99,99,99,99,99,-,-,59,No,No,40,TON
86,Saint Vincent and the Grenadines,15,16,13,13,9,5,2.2,-0.6,23,8,99,99,97,99,99,99,97,97,-,-,32,No,No,,VCT
87,Samoa,15,16,14,13,8,4,1.7,1.1,72,17,99,94,79,76,57,44,72,72,-,-,64,No,Yes,70,WSM
88,Ecuador,14,16,12,12,7,3,3.8,3.1,"4,696","1,038",81,74,70,72,81,70,70,70,75,76,42,No,Yes,40,ECU
89,Panama,15,16,13,13,9,3,2.9,2.1,"1,175",223,99,93,74,74,80,74,74,74,86,74,41,Yes,Yes,21,PAN
90,Republic of Moldova,14,16,13,12,11,3,4.1,2.8,584,117,95,86,86,87,84,93,87,86,56,72,22,Yes,Yes,36,MDA
91,Brazil,14,16,12,12,8,2,4.8,1.5,"40,429","7,046",67,88,77,74,79,44,77,77,76,79,30,Yes,Yes,39,BRA
92,Cabo Verde,15,16,13,13,9,2,5.0,1.9,157,20,98,93,93,94,95,86,94,94,-,-,42,No,Yes,60,CPV
93,Jordan,16,17,14,13,9,3,2.9,1.7,"3,355",789,76,78,77,76,76,90,77,77,75,-,52,No,Yes,25,JOR
94,Saint Kitts and Nevis,15,17,14,13,10,3,2.3,1.9,11,2,98,99,99,99,99,99,99,99,-,-,27,No,No,,KNA
95,Grenada,17,18,15,15,11,4,-0.3,0.2,30,6,-,79,72,72,83,79,72,72,-,-,36,No,No,,GRD
96,Mongolia,16,18,14,13,8,3,7.5,4.4,"1,183",209,99,98,96,97,97,96,96,96,-,92,48,Yes,No,58,MNG
97,Tunisia,17,18,15,14,12,3,3.0,2.3,"3,398",587,85,92,92,92,93,92,92,92,-,82,36,No,Yes,14,TUN
98,Mauritius,16,18,14,14,10,2,0.8,1.0,206,28,96,94,93,94,89,87,93,93,92,86,24,Yes,Yes,,MUS
99,Honduras,17,19,15,14,9,4,4.2,2.6,"3,480",902,83,85,80,80,82,79,80,80,83,80,47,No,No,31,HND
100,Palau,17,19,15,16,9,4,2.7,1.7,4,1,-,99,96,96,93,83,93,89,82,75,29,No,No,,PLW
101,Democratic People's Republic of Korea,17,19,15,13,10,4,6.5,2.5,"6,116","1,330",99,98,97,70,99,99,97,97,-,-,28,-,-,71,PRK
102,Nicaragua,17,19,15,14,10,3,4.4,1.8,"2,212",430,93,94,92,93,97,98,92,92,92,92,46,No,Yes,32,NIC
103,Trinidad and Tobago,18,19,16,16,12,2,2.5,1.4,312,45,-,-,-,-,-,-,-,-,-,-,29,Yes,No,21,TTO
104,Uzbekistan,17,20,15,16,10,4,6.7,2.8,"12,045","2,283",99,96,95,97,99,99,95,95,90,93,43,Yes,No,49,UZB
105,Kyrgyzstan,18,20,16,16,12,3,5.3,2.4,"2,824",386,96,90,87,87,92,93,86,86,52,90,52,Yes,No,46,KGZ
106,Suriname,18,20,16,16,11,3,2.9,1.3,191,30,-,60,51,51,45,50,51,51,-,-,40,Yes,Yes,9,SUR
107,Solomon Islands,20,21,18,17,8,4,2.3,1.4,416,73,82,98,94,92,81,51,94,94,41,93,71,No,No,76,SLB
108,Egypt,20,21,19,17,11,4,4.4,3.5,"52,291","9,155",96,95,94,95,94,94,94,94,-,-,56,No,No,40,EGY
109,State of Palestine,19,21,18,17,11,3,2.3,1.9,"2,771",373,99,99,99,99,99,99,99,99,99,99,66,No,No,39,PSE
110,Paraguay,19,21,17,17,11,3,2.9,2.5,"2,774",381,84,84,79,78,80,72,79,79,80,82,45,Yes,Yes,30,PRY
111,Azerbaijan,20,22,18,18,11,3,6.8,4.0,"3,370",463,94,85,79,85,82,79,79,79,-,79,34,Yes,No,12,AZE
112,Syrian Arab Republic,22,23,19,18,11,10,0.4,0.8,"9,195","3,495",74,65,49,53,59,53,49,49,-,-,48,Yes,No,29,SYR
113,Morocco,21,23,19,18,14,3,4.4,2.1,"14,511","1,695",-,-,-,-,-,-,-,-,-,-,41,Yes,Yes,35,MAR
114,Viet Nam,20,23,17,16,10,3,2.1,2.8,"31,689","3,632",95,96,94,80,97,93,94,94,-,-,34,Yes,Yes,24,VNM
115,Saint Lucia,22,24,20,20,13,3,-1.0,1.0,48,7,89,90,86,88,89,71,86,86,-,-,25,No,No,3,LCA
116,Algeria,23,25,22,20,16,3,2.8,3.1,"23,598","2,725",-,-,-,-,-,-,-,-,-,-,49,Yes,Yes,29,DZA
